,Дата,Время,Ставка
0,15.04.2022,18:01:01,58315.7
1,15.04.2022,18:00:53,59025.9
2,15.04.2022,18:00:49,59736.1
3,15.04.2022,18:00:33,60446.3
4,15.04.2022,18:00:31,61156.5
5,15.04.2022,18:00:27,61866.7
6,15.04.2022,18:00:17,62576.9
7,15.04.2022,18:00:12,63287.1
8,15.04.2022,18:00:10,63997.3
9,15.04.2022,18:00:07,64707.5
10,15.04.2022,18:00:04,65417.7
11,15.04.2022,18:00:01,66127.9
12,15.04.2022,17:59:59,66838.1
13,15.04.2022,17:59:53,67548.3
14,15.04.2022,17:59:23,68258.5
15,15.04.2022,17:58:57,68968.7
16,15.04.2022,17:58:35,69678.9
17,15.04.2022,17:58:30,70389.1
18,15.04.2022,17:58:01,71099.3
19,15.04.2022,17:57:58,71809.5
20,15.04.2022,17:55:26,72519.7
21,15.04.2022,17:55:26,73229.9
22,15.04.2022,17:55:24,73940.1
23,15.04.2022,17:55:22,74650.3
24,15.04.2022,17:55:16,75360.5
25,15.04.2022,17:55:14,76070.7
26,15.04.2022,17:55:03,76780.9
27,15.04.2022,17:55:01,77491.1
28,15.04.2022,17:54:55,78201.3
29,15.04.2022,17:54:53,78911.5
30,15.04.2022,17:54:50,79621.7
31,15.04.2022,17:54:49,80331.9
32,15.04.2022,17:54:46,81042.1
33,15.04.2022,17:54:44,81752.3
34,15.04.2022,17:54:41,82462.5
35,15.04.2022,17:54:39,83172.7
36,15.04.2022,17:54:35,83882.9
37,15.04.2022,17:54:32,84593.1
38,15.04.2022,17:54:32,85303.3
39,15.04.2022,17:54:30,86013.5
40,15.04.2022,17:54:29,86723.7
41,15.04.2022,17:54:28,87433.9
42,15.04.2022,17:54:25,88144.1
43,15.04.2022,17:54:23,88854.3
44,15.04.2022,17:54:20,89564.5
45,15.04.2022,17:54:16,90274.7
46,15.04.2022,17:54:02,90984.9
47,15.04.2022,17:53:59,91695.1
48,15.04.2022,17:53:58,92405.3
49,15.04.2022,17:53:57,93115.5
50,15.04.2022,17:53:54,93825.7
51,15.04.2022,17:53:54,94535.9
52,15.04.2022,17:53:53,95246.1
53,15.04.2022,17:53:51,95956.3
54,15.04.2022,17:53:50,96666.5
55,15.04.2022,17:53:44,97376.7
56,15.04.2022,17:53:41,98086.9
57,15.04.2022,17:53:35,98797.1
58,15.04.2022,17:53:30,99507.3
59,15.04.2022,17:53:26,100217.5
60,15.04.2022,17:53:26,100927.7
61,15.04.2022,17:53:14,101637.9
62,15.04.2022,17:53:07,102348.1
63,15.04.2022,17:52:43,103058.3
64,15.04.2022,17:52:26,103768.5
65,15.04.2022,17:52:19,104478.7
66,15.04.2022,17:52:15,105188.9
67,15.04.2022,17:52:11,105899.1
68,15.04.2022,17:52:10,106609.3
69,15.04.2022,17:52:03,107319.5
70,15.04.2022,17:51:54,108029.7
71,15.04.2022,17:51:52,108739.9
72,15.04.2022,17:51:46,109450.1
73,15.04.2022,17:51:43,110160.3
74,15.04.2022,17:51:39,110870.5
75,15.04.2022,17:51:33,111580.7
76,15.04.2022,17:51:28,112290.9
77,15.04.2022,17:51:25,113001.1
78,15.04.2022,17:51:21,113711.3
79,15.04.2022,17:51:16,114421.5
80,15.04.2022,17:51:07,115131.7
81,15.04.2022,17:50:59,115841.9
82,15.04.2022,17:50:42,116552.1
83,15.04.2022,17:50:33,117262.3
84,15.04.2022,17:48:34,117972.5
85,15.04.2022,17:48:08,118682.7
86,15.04.2022,17:47:30,119392.9
87,15.04.2022,17:47:23,120103.1
88,15.04.2022,17:46:22,120813.3
89,15.04.2022,17:45:35,121523.5
90,15.04.2022,17:44:52,122233.7
91,15.04.2022,17:43:39,122943.9
92,15.04.2022,17:41:35,123654.1
93,15.04.2022,17:38:56,124364.3
94,15.04.2022,17:38:26,125074.5
95,15.04.2022,17:33:56,125784.7
96,15.04.2022,17:29:16,126494.9
97,15.04.2022,17:22:37,127205.1
98,15.04.2022,17:19:53,127915.3
99,15.04.2022,17:13:58,128625.5
100,15.04.2022,17:13:55,129335.7
101,15.04.2022,17:12:40,130045.9
102,15.04.2022,17:07:34,130756.1
103,15.04.2022,17:04:03,131466.3
104,15.04.2022,16:56:15,132176.5
105,15.04.2022,16:40:16,132886.7
106,15.04.2022,16:39:23,133596.9
107,15.04.2022,16:06:14,134307.1
108,15.04.2022,16:05:36,135017.3
109,15.04.2022,14:37:49,135727.5
110,15.04.2022,14:30:38,136437.7
111,15.04.2022,14:28:47,137147.9
112,15.04.2022,13:41:49,137858.1
113,15.04.2022,13:23:28,138568.3
114,15.04.2022,12:14:37,139278.5
115,15.04.2022,12:02:07,139988.7
