,Дата,Время,Ставка
0,15.04.2022,16:10:40,63801.0
1,15.04.2022,16:07:37,64260.0
2,15.04.2022,16:06:39,64719.0
3,15.04.2022,16:05:12,65178.0
4,15.04.2022,16:04:47,65637.0
5,15.04.2022,15:58:48,66096.0
6,15.04.2022,15:53:21,66555.0
7,15.04.2022,15:50:01,67014.0
8,15.04.2022,15:49:12,67473.0
9,15.04.2022,15:48:47,67932.0
10,15.04.2022,15:48:02,68391.0
11,15.04.2022,15:47:53,68850.0
12,15.04.2022,15:47:50,69309.0
13,15.04.2022,15:47:36,69768.0
14,15.04.2022,15:47:28,70227.0
15,15.04.2022,15:47:08,70686.0
16,15.04.2022,15:45:45,71145.0
17,15.04.2022,15:45:40,71604.0
18,15.04.2022,15:43:26,72063.0
19,15.04.2022,15:43:03,72522.0
20,15.04.2022,15:43:02,72981.0
21,15.04.2022,15:42:14,73440.0
22,15.04.2022,15:42:08,73899.0
23,15.04.2022,15:42:02,74358.0
24,15.04.2022,15:41:59,74817.0
25,15.04.2022,15:41:29,75276.0
26,15.04.2022,15:40:55,75735.0
27,15.04.2022,15:39:35,76194.0
28,15.04.2022,15:39:14,76653.0
29,15.04.2022,15:38:58,77112.0
30,15.04.2022,15:38:54,77571.0
31,15.04.2022,15:38:42,78030.0
32,15.04.2022,15:38:17,78489.0
33,15.04.2022,15:37:23,78948.0
34,15.04.2022,15:36:36,79407.0
35,15.04.2022,15:36:13,79866.0
36,15.04.2022,15:36:12,80325.0
37,15.04.2022,15:35:10,80784.0
38,15.04.2022,15:33:16,81243.0
39,15.04.2022,15:33:00,81702.0
40,15.04.2022,15:32:25,82161.0
41,15.04.2022,15:31:37,82620.0
42,15.04.2022,15:30:42,83079.0
43,15.04.2022,15:29:44,83538.0
44,15.04.2022,15:27:22,83997.0
45,15.04.2022,15:25:46,84456.0
46,15.04.2022,14:56:20,84915.0
47,15.04.2022,14:55:34,85374.0
48,15.04.2022,14:42:03,85833.0
49,15.04.2022,14:41:59,86292.0
50,15.04.2022,14:40:19,86751.0
51,15.04.2022,14:38:46,87210.0
52,15.04.2022,14:33:53,87669.0
53,15.04.2022,14:28:08,88128.0
54,15.04.2022,14:21:13,88587.0
55,15.04.2022,14:17:30,89046.0
56,15.04.2022,13:58:31,89505.0
57,15.04.2022,13:52:15,89964.0
58,15.04.2022,13:51:11,90423.0
59,15.04.2022,13:29:33,90882.0
60,15.04.2022,13:24:58,91341.0
