,Дата,Время,Ставка
0,15.04.2022,15:25:49,36500.0
1,15.04.2022,15:25:29,36875.0
2,15.04.2022,15:25:18,37250.0
3,15.04.2022,15:25:15,37625.0
4,15.04.2022,15:25:14,38000.0
5,15.04.2022,15:25:11,38375.0
6,15.04.2022,15:24:54,38750.0
7,15.04.2022,15:24:41,39125.0
8,15.04.2022,15:24:00,39500.0
9,15.04.2022,15:23:50,39875.0
10,15.04.2022,15:23:41,40250.0
11,15.04.2022,15:23:20,40625.0
12,15.04.2022,15:22:52,41000.0
13,15.04.2022,15:22:12,41375.0
14,15.04.2022,15:20:29,41750.0
15,15.04.2022,15:20:22,42125.0
16,15.04.2022,15:18:15,42500.0
17,15.04.2022,15:12:57,42875.0
18,15.04.2022,15:11:59,43250.0
19,15.04.2022,15:11:33,43625.0
20,15.04.2022,15:10:28,44000.0
21,15.04.2022,15:10:15,44375.0
22,15.04.2022,15:09:56,44750.0
23,15.04.2022,15:09:27,45125.0
24,15.04.2022,15:08:40,45500.0
25,15.04.2022,15:08:14,45875.0
26,15.04.2022,15:08:03,46250.0
27,15.04.2022,15:07:15,46625.0
28,15.04.2022,15:06:33,47000.0
29,15.04.2022,15:05:59,47375.0
30,15.04.2022,15:05:54,47750.0
31,15.04.2022,15:05:47,48125.0
32,15.04.2022,15:05:32,48500.0
33,15.04.2022,15:05:03,48875.0
34,15.04.2022,15:04:53,49250.0
35,15.04.2022,15:04:30,49625.0
36,15.04.2022,15:03:24,50000.0
37,15.04.2022,15:03:09,50375.0
38,15.04.2022,15:02:38,50750.0
39,15.04.2022,15:02:00,51125.0
40,15.04.2022,15:01:45,51500.0
41,15.04.2022,15:01:40,51875.0
42,15.04.2022,15:01:37,52250.0
43,15.04.2022,14:59:53,52625.0
44,15.04.2022,14:59:04,53000.0
45,15.04.2022,14:56:17,53375.0
46,15.04.2022,14:55:54,53750.0
47,15.04.2022,14:55:43,54125.0
48,15.04.2022,14:53:27,54500.0
49,15.04.2022,14:52:59,54875.0
50,15.04.2022,14:52:20,55250.0
51,15.04.2022,14:52:16,55625.0
52,15.04.2022,14:51:24,56000.0
53,15.04.2022,14:51:11,56375.0
54,15.04.2022,14:50:59,56750.0
55,15.04.2022,14:50:50,57125.0
56,15.04.2022,14:50:07,57500.0
57,15.04.2022,14:49:59,57875.0
58,15.04.2022,14:46:53,58250.0
59,15.04.2022,14:46:28,58625.0
60,15.04.2022,14:45:55,59000.0
61,15.04.2022,14:42:09,59375.0
62,15.04.2022,14:38:20,59750.0
63,15.04.2022,14:36:15,60125.0
64,15.04.2022,14:36:03,60500.0
65,15.04.2022,14:33:46,60875.0
66,15.04.2022,14:33:26,61250.0
67,15.04.2022,14:33:09,61625.0
68,15.04.2022,14:32:45,62000.0
69,15.04.2022,14:31:42,62375.0
70,15.04.2022,14:30:40,62750.0
71,15.04.2022,14:24:53,63125.0
72,15.04.2022,14:24:50,63500.0
73,15.04.2022,14:24:13,63875.0
74,15.04.2022,14:24:08,64250.0
75,15.04.2022,14:23:36,64625.0
76,15.04.2022,14:20:35,65000.0
77,15.04.2022,14:10:28,65375.0
78,15.04.2022,14:06:49,65750.0
79,15.04.2022,14:00:35,66125.0
80,15.04.2022,13:58:57,66500.0
81,15.04.2022,13:49:15,66875.0
82,15.04.2022,13:40:55,67250.0
83,15.04.2022,13:36:45,67625.0
84,15.04.2022,13:31:57,68000.0
85,15.04.2022,13:22:07,68375.0
86,15.04.2022,13:20:31,68750.0
87,15.04.2022,13:12:37,69125.0
88,15.04.2022,13:10:49,69500.0
89,15.04.2022,12:57:42,69875.0
90,15.04.2022,12:57:37,70250.0
91,15.04.2022,12:54:14,70625.0
92,15.04.2022,12:52:52,71000.0
93,15.04.2022,12:37:17,71375.0
94,15.04.2022,12:36:35,71750.0
95,15.04.2022,12:36:26,72125.0
96,15.04.2022,12:35:49,72500.0
