,Дата,Время,Ставка
0,15.04.2022,17:02:37,26623.35
1,15.04.2022,16:13:08,26759.88
2,15.04.2022,16:10:41,26896.41
3,15.04.2022,16:07:18,27032.94
4,15.04.2022,12:07:30,27169.47
