,Дата,Время,Ставка
0,15.04.2022,17:24:41,39336.0
1,15.04.2022,17:24:03,39634.0
2,15.04.2022,17:23:18,39932.0
3,15.04.2022,17:23:15,40230.0
4,15.04.2022,17:22:43,40528.0
5,15.04.2022,17:22:40,40826.0
6,15.04.2022,17:22:27,41124.0
7,15.04.2022,17:21:17,41422.0
8,15.04.2022,17:21:08,41720.0
9,15.04.2022,17:13:31,42018.0
10,15.04.2022,17:11:44,42316.0
11,15.04.2022,17:11:19,42614.0
12,15.04.2022,17:07:31,42912.0
13,15.04.2022,17:06:54,43210.0
14,15.04.2022,17:05:29,43508.0
15,15.04.2022,17:05:10,43806.0
16,15.04.2022,17:04:57,44104.0
17,15.04.2022,17:03:39,44402.0
18,15.04.2022,17:03:16,44700.0
19,15.04.2022,16:59:45,44998.0
20,15.04.2022,16:59:00,45296.0
21,15.04.2022,16:58:47,45594.0
22,15.04.2022,16:58:20,45892.0
23,15.04.2022,16:55:19,46190.0
24,15.04.2022,16:53:50,46488.0
25,15.04.2022,16:52:53,46786.0
26,15.04.2022,16:52:50,47084.0
27,15.04.2022,16:52:18,47382.0
28,15.04.2022,16:52:16,47680.0
29,15.04.2022,16:52:07,47978.0
30,15.04.2022,16:50:34,48276.0
31,15.04.2022,16:50:00,48574.0
32,15.04.2022,16:49:54,48872.0
33,15.04.2022,16:49:46,49170.0
34,15.04.2022,16:49:08,49468.0
35,15.04.2022,16:45:47,49766.0
36,15.04.2022,16:45:39,50064.0
37,15.04.2022,16:44:25,50362.0
38,15.04.2022,16:40:01,50660.0
39,15.04.2022,16:39:51,50958.0
40,15.04.2022,16:35:31,51256.0
41,15.04.2022,16:32:20,51554.0
42,15.04.2022,16:30:52,51852.0
43,15.04.2022,16:30:20,52150.0
44,15.04.2022,16:29:45,52448.0
45,15.04.2022,16:17:10,52746.0
46,15.04.2022,16:16:49,53044.0
47,15.04.2022,16:10:31,53342.0
48,15.04.2022,16:08:17,53640.0
49,15.04.2022,16:06:12,53938.0
50,15.04.2022,16:05:28,54236.0
51,15.04.2022,15:41:57,54534.0
52,15.04.2022,15:41:03,54832.0
53,15.04.2022,15:39:10,55130.0
54,15.04.2022,15:37:55,55428.0
55,15.04.2022,15:35:33,55726.0
56,15.04.2022,15:30:35,56024.0
57,15.04.2022,15:29:07,56322.0
58,15.04.2022,15:27:27,56620.0
59,15.04.2022,15:26:12,56918.0
60,15.04.2022,15:25:48,57216.0
61,15.04.2022,15:15:09,57514.0
62,15.04.2022,15:14:46,57812.0
63,15.04.2022,15:11:44,58110.0
64,15.04.2022,15:08:27,58408.0
65,15.04.2022,15:07:17,58706.0
66,15.04.2022,15:02:54,59004.0
67,15.04.2022,14:33:15,59302.0
