,Дата,Время,Ставка
0,15.04.2022,17:42:38,32701.0
1,15.04.2022,17:42:34,33084.5
2,15.04.2022,17:42:26,33468.0
3,15.04.2022,17:41:00,33851.5
4,15.04.2022,17:39:30,34235.0
5,15.04.2022,17:39:26,34618.5
6,15.04.2022,17:39:08,35002.0
7,15.04.2022,17:39:03,35385.5
8,15.04.2022,17:39:00,35769.0
9,15.04.2022,17:38:57,36152.5
10,15.04.2022,17:38:54,36536.0
11,15.04.2022,17:38:50,36919.5
12,15.04.2022,17:38:47,37303.0
13,15.04.2022,17:38:44,37686.5
14,15.04.2022,17:38:41,38070.0
15,15.04.2022,17:38:38,38453.5
16,15.04.2022,17:38:35,38837.0
17,15.04.2022,17:38:30,39220.5
18,15.04.2022,17:38:24,39604.0
19,15.04.2022,17:38:21,39987.5
20,15.04.2022,17:38:10,40371.0
21,15.04.2022,17:38:08,40754.5
22,15.04.2022,17:38:04,41138.0
23,15.04.2022,17:38:00,41521.5
24,15.04.2022,17:37:53,41905.0
25,15.04.2022,17:37:47,42288.5
26,15.04.2022,17:37:38,42672.0
27,15.04.2022,17:35:05,43055.5
28,15.04.2022,17:32:30,43439.0
29,15.04.2022,17:28:34,43822.5
30,15.04.2022,17:26:45,44206.0
31,15.04.2022,17:26:42,44589.5
32,15.04.2022,17:26:38,44973.0
33,15.04.2022,17:26:35,45356.5
34,15.04.2022,17:26:31,45740.0
35,15.04.2022,17:26:29,46123.5
36,15.04.2022,17:26:26,46507.0
37,15.04.2022,17:26:24,46890.5
38,15.04.2022,17:26:17,47274.0
39,15.04.2022,17:26:15,47657.5
40,15.04.2022,17:26:11,48041.0
41,15.04.2022,17:26:08,48424.5
42,15.04.2022,17:25:57,48808.0
43,15.04.2022,17:25:52,49191.5
44,15.04.2022,17:25:48,49575.0
45,15.04.2022,17:25:45,49958.5
46,15.04.2022,17:25:35,50342.0
47,15.04.2022,17:25:27,50725.5
48,15.04.2022,17:25:21,51109.0
49,15.04.2022,17:25:17,51492.5
50,15.04.2022,17:25:05,51876.0
51,15.04.2022,17:25:01,52259.5
52,15.04.2022,17:24:56,52643.0
53,15.04.2022,17:24:46,53026.5
54,15.04.2022,17:24:34,53410.0
55,15.04.2022,17:21:38,53793.5
56,15.04.2022,17:21:34,54177.0
57,15.04.2022,17:19:21,54560.5
58,15.04.2022,17:19:15,54944.0
59,15.04.2022,17:19:11,55327.5
60,15.04.2022,17:19:06,55711.0
61,15.04.2022,17:19:03,56094.5
62,15.04.2022,17:19:01,56478.0
63,15.04.2022,17:18:52,56861.5
64,15.04.2022,17:18:49,57245.0
65,15.04.2022,17:18:39,57628.5
66,15.04.2022,17:18:35,58012.0
67,15.04.2022,17:18:31,58395.5
68,15.04.2022,17:18:27,58779.0
69,15.04.2022,17:16:02,59162.5
70,15.04.2022,17:15:57,59546.0
71,15.04.2022,17:15:48,59929.5
72,15.04.2022,17:15:44,60313.0
73,15.04.2022,17:15:40,60696.5
74,15.04.2022,17:15:36,61080.0
75,15.04.2022,17:15:32,61463.5
76,15.04.2022,17:15:26,61847.0
77,15.04.2022,17:15:21,62230.5
78,15.04.2022,17:15:18,62614.0
79,15.04.2022,17:15:10,62997.5
80,15.04.2022,17:14:55,63381.0
81,15.04.2022,17:14:44,63764.5
82,15.04.2022,17:14:33,64148.0
83,15.04.2022,17:13:32,64531.5
84,15.04.2022,17:13:25,64915.0
85,15.04.2022,17:12:16,65298.5
86,15.04.2022,17:12:11,65682.0
87,15.04.2022,17:10:16,66065.5
88,15.04.2022,17:10:03,66449.0
89,15.04.2022,17:09:31,66832.5
90,15.04.2022,17:08:55,67216.0
91,15.04.2022,17:08:51,67599.5
92,15.04.2022,17:08:37,67983.0
93,15.04.2022,17:07:49,68366.5
94,15.04.2022,17:07:31,68750.0
95,15.04.2022,17:06:17,69133.5
96,15.04.2022,17:06:11,69517.0
97,15.04.2022,17:06:04,69900.5
98,15.04.2022,17:06:00,70284.0
99,15.04.2022,16:56:38,70667.5
100,15.04.2022,16:55:20,71051.0
101,15.04.2022,16:42:18,71434.5
102,15.04.2022,16:42:02,71818.0
103,15.04.2022,16:41:39,72201.5
104,15.04.2022,16:40:51,72585.0
105,15.04.2022,16:38:53,72968.5
106,15.04.2022,16:24:46,73352.0
107,15.04.2022,16:15:37,73735.5
108,15.04.2022,16:14:39,74119.0
109,15.04.2022,16:01:59,74502.5
110,15.04.2022,15:26:43,74886.0
111,15.04.2022,15:20:21,75269.5
112,15.04.2022,15:19:45,75653.0
113,15.04.2022,15:06:33,76036.5
