,Дата,Время,Ставка
0,15.04.2022,15:56:34,45497.49
1,15.04.2022,15:55:26,45741.46
2,15.04.2022,15:53:33,45985.43
3,15.04.2022,15:52:55,46229.4
4,15.04.2022,15:47:33,46473.37
5,15.04.2022,15:47:09,46717.34
6,15.04.2022,15:46:30,46961.31
7,15.04.2022,15:45:40,47205.28
8,15.04.2022,15:11:52,47449.25
9,15.04.2022,15:08:19,47693.22
10,15.04.2022,13:20:41,47937.19
11,15.04.2022,13:19:19,48181.16
