,Дата,Время,Ставка
0,15.04.2022,16:26:35,32970.0
1,15.04.2022,16:24:21,33180.0
2,15.04.2022,16:22:38,33390.0
3,15.04.2022,16:22:35,33600.0
4,15.04.2022,16:22:18,33810.0
5,15.04.2022,16:21:46,34020.0
6,15.04.2022,16:21:42,34230.0
7,15.04.2022,16:21:12,34440.0
8,15.04.2022,16:07:16,34650.0
9,15.04.2022,16:03:23,34860.0
10,15.04.2022,16:02:55,35070.0
11,15.04.2022,14:58:10,35280.0
12,15.04.2022,14:55:47,35490.0
13,15.04.2022,14:52:56,35700.0
14,15.04.2022,14:49:34,35910.0
15,15.04.2022,14:27:23,36120.0
16,15.04.2022,14:22:52,36330.0
17,15.04.2022,14:22:29,36540.0
18,15.04.2022,14:22:00,36750.0
19,15.04.2022,14:21:20,36960.0
20,15.04.2022,14:20:36,37170.0
21,15.04.2022,14:17:39,37380.0
22,15.04.2022,14:17:21,37590.0
23,15.04.2022,14:15:12,37800.0
24,15.04.2022,14:13:46,38010.0
25,15.04.2022,14:13:29,38220.0
26,15.04.2022,14:10:55,38430.0
27,15.04.2022,14:10:01,38640.0
28,15.04.2022,14:09:40,38850.0
29,15.04.2022,14:08:32,39060.0
30,15.04.2022,14:08:10,39270.0
31,15.04.2022,14:08:05,39480.0
32,15.04.2022,14:02:21,39690.0
33,15.04.2022,13:59:37,39900.0
34,15.04.2022,13:58:08,40110.0
35,15.04.2022,13:57:21,40320.0
36,15.04.2022,13:45:07,40530.0
37,15.04.2022,13:44:53,40740.0
38,15.04.2022,13:43:26,40950.0
39,15.04.2022,13:42:18,41160.0
40,15.04.2022,13:41:44,41370.0
41,15.04.2022,13:39:58,41580.0
42,15.04.2022,13:33:53,41790.0
