,Дата,Время,Ставка
0,15.04.2022,15:16:36,64071.5
1,15.04.2022,15:15:09,64901.0
2,15.04.2022,15:13:14,65730.5
3,15.04.2022,15:13:05,66560.0
4,15.04.2022,15:12:07,67389.5
5,15.04.2022,15:12:04,68219.0
6,15.04.2022,15:12:02,69048.5
7,15.04.2022,15:11:43,69878.0
8,15.04.2022,15:11:41,70707.5
9,15.04.2022,15:11:37,71537.0
10,15.04.2022,15:11:08,72366.5
11,15.04.2022,15:11:00,73196.0
12,15.04.2022,15:10:56,74025.5
13,15.04.2022,15:10:20,74855.0
14,15.04.2022,15:10:12,75684.5
15,15.04.2022,15:09:57,76514.0
16,15.04.2022,15:09:52,77343.5
17,15.04.2022,15:09:23,78173.0
18,15.04.2022,15:09:09,79002.5
19,15.04.2022,15:08:08,79832.0
20,15.04.2022,15:07:20,80661.5
21,15.04.2022,15:07:00,81491.0
22,15.04.2022,15:06:41,82320.5
23,15.04.2022,15:06:26,83150.0
24,15.04.2022,15:06:01,83979.5
25,15.04.2022,15:04:45,84809.0
26,15.04.2022,15:04:30,85638.5
27,15.04.2022,15:04:19,86468.0
28,15.04.2022,15:02:40,87297.5
29,15.04.2022,14:58:56,88127.0
30,15.04.2022,14:57:38,88956.5
31,15.04.2022,14:55:15,89786.0
32,15.04.2022,14:54:34,90615.5
33,15.04.2022,14:35:21,91445.0
34,15.04.2022,14:32:33,92274.5
35,15.04.2022,14:08:15,93104.0
36,15.04.2022,14:05:45,93933.5
37,15.04.2022,14:02:04,94763.0
38,15.04.2022,14:00:31,95592.5
39,15.04.2022,13:22:35,96422.0
40,15.04.2022,13:14:57,97251.5
41,15.04.2022,13:11:09,98081.0
42,15.04.2022,12:37:22,98910.5
